Timestamp,Average_OAT,Humidity,UV_Index,Average_Rainfall
2021-09-24 00:00:00,28.9395,80.38453333333332,0.0,1.0
2021-09-24 00:15:00,29.012,80.30786666666667,0.0,1.0
2021-09-24 00:30:00,28.94283333333333,80.76453333333335,0.0,1.0
2021-09-24 00:45:00,28.9245,82.22786666666667,0.0,0.0
2021-09-24 01:00:00,28.1795,89.23129999999999,0.0,0.0
2021-09-24 01:15:00,28.35033333333333,86.59463333333333,0.0,0.0
2021-09-24 01:30:00,28.216166666666663,84.48456666666667,0.0,0.0
2021-09-24 01:45:00,28.305333333333333,83.57786666666667,0.0,1.5
2021-09-24 02:00:00,28.552,83.90453333333333,0.0,1.5
2021-09-24 02:15:00,28.717,82.06453333333333,0.0,1.5
2021-09-24 02:30:00,28.8395,81.83786666666667,0.0,1.5
2021-09-24 02:45:00,28.882,82.08120000000001,0.0,0.0
2021-09-24 03:00:00,28.92033333333333,81.9412,0.0,0.0
2021-09-24 03:15:00,28.897,81.31453333333333,0.0,0.0
2021-09-24 03:30:00,28.861166666666666,81.62786666666666,0.0,0.0
2021-09-24 03:45:00,28.902833333333334,81.35453333333334,0.0,0.0
2021-09-24 04:00:00,28.897,81.24786666666667,0.0,0.0
2021-09-24 04:15:00,28.54116666666667,83.29786666666666,0.0,0.0
2021-09-24 04:30:00,28.3895,83.55120000000001,0.0,0.0
2021-09-24 04:45:00,28.64616666666667,82.3412,0.0,0.0
2021-09-24 05:00:00,28.7645,78.42113333333333,0.0,0.0
2021-09-24 05:15:00,28.69783333333333,78.14120000000001,0.0,0.0
2021-09-24 05:30:00,28.801166666666663,78.51786666666668,0.0,0.0
2021-09-24 05:45:00,28.925333333333334,78.22786666666667,0.0,0.0
2021-09-24 06:00:00,28.922833333333333,79.14786666666667,0.0,0.0
2021-09-24 06:15:00,28.94366666666667,80.23453333333333,0.0,0.0
2021-09-24 06:30:00,28.988666666666663,80.2512,0.0,0.0
2021-09-24 06:45:00,29.058666666666667,79.4912,0.0,0.0
